code,name,riskLevel,description
e958,Sweetener and glazing agent E958,Review Needed,Seed catalog entry for E958 pending detailed additive review.
e959,Sweetener and glazing agent E959,Review Needed,Seed catalog entry for E959 pending detailed additive review.
e960,Sweetener and glazing agent E960,Review Needed,Seed catalog entry for E960 pending detailed additive review.
e961,Sweetener and glazing agent E961,Review Needed,Seed catalog entry for E961 pending detailed additive review.
e962,Sweetener and glazing agent E962,Review Needed,Seed catalog entry for E962 pending detailed additive review.
e963,Sweetener and glazing agent E963,Review Needed,Seed catalog entry for E963 pending detailed additive review.
e964,Sweetener and glazing agent E964,Review Needed,Seed catalog entry for E964 pending detailed additive review.
e965,Sweetener and glazing agent E965,Review Needed,Seed catalog entry for E965 pending detailed additive review.
e966,Sweetener and glazing agent E966,Review Needed,Seed catalog entry for E966 pending detailed additive review.
e967,Sweetener and glazing agent E967,Review Needed,Seed catalog entry for E967 pending detailed additive review.
e968,Sweetener and glazing agent E968,Review Needed,Seed catalog entry for E968 pending detailed additive review.
e969,Sweetener and glazing agent E969,Review Needed,Seed catalog entry for E969 pending detailed additive review.
e970,Sweetener and glazing agent E970,Review Needed,Seed catalog entry for E970 pending detailed additive review.
e971,Sweetener and glazing agent E971,Review Needed,Seed catalog entry for E971 pending detailed additive review.
e972,Sweetener and glazing agent E972,Review Needed,Seed catalog entry for E972 pending detailed additive review.
e973,Sweetener and glazing agent E973,Review Needed,Seed catalog entry for E973 pending detailed additive review.
e974,Sweetener and glazing agent E974,Review Needed,Seed catalog entry for E974 pending detailed additive review.
e975,Sweetener and glazing agent E975,Review Needed,Seed catalog entry for E975 pending detailed additive review.
e976,Sweetener and glazing agent E976,Review Needed,Seed catalog entry for E976 pending detailed additive review.
e977,Sweetener and glazing agent E977,Review Needed,Seed catalog entry for E977 pending detailed additive review.
e978,Sweetener and glazing agent E978,Review Needed,Seed catalog entry for E978 pending detailed additive review.
e979,Sweetener and glazing agent E979,Review Needed,Seed catalog entry for E979 pending detailed additive review.
e980,Sweetener and glazing agent E980,Review Needed,Seed catalog entry for E980 pending detailed additive review.
e981,Sweetener and glazing agent E981,Review Needed,Seed catalog entry for E981 pending detailed additive review.
e982,Sweetener and glazing agent E982,Review Needed,Seed catalog entry for E982 pending detailed additive review.
e983,Sweetener and glazing agent E983,Review Needed,Seed catalog entry for E983 pending detailed additive review.
e984,Sweetener and glazing agent E984,Review Needed,Seed catalog entry for E984 pending detailed additive review.
e985,Sweetener and glazing agent E985,Review Needed,Seed catalog entry for E985 pending detailed additive review.
e986,Sweetener and glazing agent E986,Review Needed,Seed catalog entry for E986 pending detailed additive review.
e987,Sweetener and glazing agent E987,Review Needed,Seed catalog entry for E987 pending detailed additive review.
e988,Sweetener and glazing agent E988,Review Needed,Seed catalog entry for E988 pending detailed additive review.
e989,Sweetener and glazing agent E989,Review Needed,Seed catalog entry for E989 pending detailed additive review.
e990,Sweetener and glazing agent E990,Review Needed,Seed catalog entry for E990 pending detailed additive review.
e991,Sweetener and glazing agent E991,Review Needed,Seed catalog entry for E991 pending detailed additive review.
e992,Sweetener and glazing agent E992,Review Needed,Seed catalog entry for E992 pending detailed additive review.
e993,Sweetener and glazing agent E993,Review Needed,Seed catalog entry for E993 pending detailed additive review.
e994,Sweetener and glazing agent E994,Review Needed,Seed catalog entry for E994 pending detailed additive review.
e995,Sweetener and glazing agent E995,Review Needed,Seed catalog entry for E995 pending detailed additive review.
e996,Sweetener and glazing agent E996,Review Needed,Seed catalog entry for E996 pending detailed additive review.
e997,Sweetener and glazing agent E997,Review Needed,Seed catalog entry for E997 pending detailed additive review.
e998,Sweetener and glazing agent E998,Review Needed,Seed catalog entry for E998 pending detailed additive review.
e999,Sweetener and glazing agent E999,Review Needed,Seed catalog entry for E999 pending detailed additive review.
